Epoch 8. Train Loss: 0.268727, Train Acc: 0.915121, Valid Loss: 0.380865, Valid Acc: 0.877967, Time 00:01:06
Epoch 9. Train Loss: 0.260301, Train Acc: 0.916101, Valid Loss: 0.383748, Valid Acc: 0.878362, Time 00:01:06
Epoch 10. Train Loss: 0.253632, Train Acc: 0.917899, Valid Loss: 0.418288, Valid Acc: 0.872330, Time 00:01:06
Epoch 11. Train Loss: 0.254069, Train Acc: 0.918039, Valid Loss: 0.402493, Valid Acc: 0.873121, Time 00:01:06
Epoch 12. Train Loss: 0.252627, Train Acc: 0.919877, Valid Loss: 0.380151, Valid Acc: 0.882318, Time 00:01:06
Epoch 13. Train Loss: 0.248229, Train Acc: 0.921216, Valid Loss: 0.370076, Valid Acc: 0.882417, Time 00:01:06
Epoch 14. Train Loss: 0.242380, Train Acc: 0.923633, Valid Loss: 0.398989, Valid Acc: 0.879153, Time 00:01:06
Epoch 15. Train Loss: 0.241245, Train Acc: 0.924033, Valid Loss: 0.381525, Valid Acc: 0.882812, Time 00:01:06
Epoch 16. Train Loss: 0.237960, Train Acc: 0.923813, Valid Loss: 0.401703, Valid Acc: 0.877967, Time 00:01:06
Epoch 17. Train Loss: 0.236102, Train Acc: 0.924492, Valid Loss: 0.370893, Valid Acc: 0.882812, Time 00:01:06
Epoch 18. Train Loss: 0.233891, Train Acc: 0.924213, Valid Loss: 0.419973, Valid Acc: 0.872429, Time 00:01:06
Epoch 19. Train Loss: 0.236601, Train Acc: 0.924173, Valid Loss: 0.380189, Valid Acc: 0.885186, Time 00:01:06
Epoch 20. Train Loss: 0.235683, Train Acc: 0.924473, Valid Loss: 0.404311, Valid Acc: 0.875989, Time 00:01:06
Epoch 21. Train Loss: 0.232414, Train Acc: 0.925711, Valid Loss: 0.390541, Valid Acc: 0.876187, Time 00:01:06
Epoch 22. Train Loss: 0.228635, Train Acc: 0.928629, Valid Loss: 0.411988, Valid Acc: 0.875692, Time 00:01:06
Epoch 23. Train Loss: 0.226364, Train Acc: 0.928569, Valid Loss: 0.451318, Valid Acc: 0.859078, Time 00:01:06
Epoch 24. Train Loss: 0.225775, Train Acc: 0.929108, Valid Loss: 0.468450, Valid Acc: 0.860364, Time 00:01:06
